result,manuscript_value,replicated_value,difference,tolerance,status
Final N,15165,15165,0,0,PASS
Education AME,.045273,.045272797,-2.0316811e-07,5.0000000e-07,PASS
Cultivation AME,-.015222,-.01522179,2.0990598e-07,5.0000000e-07,PASS
Historical rice AME H2,-.007304,-.0073041683,-1.6848347e-07,5.0000000e-07,PASS
Fairlie explained share,92.072,92.0718,-.00019871663,.00050000002,PASS
PSM ATET,.085199,.085198559,-4.4404331e-07,5.0000000e-07,PASS
PSM mean absolute SMD,2.594,2.5940042,4.1765570e-06,.00050000002,PASS
PSM maximum absolute SMD,12.156,12.155627,-.00037274932,.00050000002,PASS
IV first-stage F,284.743,284.74271,-.00028199857,.00050000002,PASS
IV AME,.07779,.077789597,-4.0020109e-07,5.0000000e-07,PASS
KHB Full,.092987,.092987038,3.9371042e-08,5.0000000e-07,PASS
KHB share,53.706,53.706238,.00023925734,.00050000002,PASS
Lagged education AME,.035893,.035892535,-4.6582144e-07,5.0000000e-07,PASS
Female AME,.035337,.035337083,8.2700005e-08,5.0000000e-07,PASS
Male AME,.055097,.055097107,1.0726779e-07,5.0000000e-07,PASS
Age 16-39 AME,.051144,.051144183,1.8438935e-07,5.0000000e-07,PASS
Age 40-59 AME,.035575,.035575014,1.2691362e-08,5.0000000e-07,PASS
Age 60+ AME,.066945,.066944718,-2.8120780e-07,5.0000000e-07,PASS
Education x historical rice p,.585,.58021742,-.0047825789,.00050000002,FAIL
P75-P25 education AME difference p,.903,.90443194,.0014319391,.00050000002,FAIL
