stage,variable,treated_mean,control_mean,smd,variance_ratio,abs_smd
after,age_c2,238.178880866426,209,12.155627,1.0039661,12.15562725067139
after,marriage,.7949458483754512,.83023465,-9.0512056,1.1564838,9.051205635070801
after,gender,.6104693140794224,.65009028,-8.2138014,1.0453439,8.213801383972168
after,ln_income,5.487566955356242,5.2401266,5.7237673,1.0098624,5.723767280578613
after,pv_8,.0032490974729242,.0013537906,3.9556963,2.3953531,3.95569634437561
after,pv_22,.0175090252707581,.013176896,3.524756,1.3228831,3.524755954742432
after,age_c,-5.835559566787004,-5.4054151,-3.1043694,1.1353632,3.104369401931763
after,pv_23,.1981949458483755,.21055956,-3.0663273,.9559834,3.066327333450317
after,year14,.4897111913357401,.50496387,-3.0506351,.99963671,3.050635099411011
after,pv_12,.0651624548736462,.058212996,2.888551,1.1110773,2.888550996780396
after,pv_18,.0037906137184116,.0024368232,2.4298453,1.5533849,2.429845333099365
after,pv_14,.0115523465703971,.0091155237,2.4095473,1.2641616,2.409547328948975
after,pv_3,.0259927797833935,.029693142,-2.2490649,.87868458,2.249064922332764
after,plants,.6498194945848376,.65947652,-2.0308983,1.0132618,2.030898332595825
after,pv_13,.244043321299639,.25279784,-2.0259542,.97664267,2.025954246520996
after,pv_19,.0310469314079422,.027797833,1.9225852,1.1131078,1.922585248947144
after,pv_20,.0276173285198556,.024819495,1.7509005,1.1094922,1.750900506973267
after,pv_16,.0848375451263538,.089350179,-1.6002722,.95416349,1.600272178649902
after,pv_21,.0305054151624549,.033122744,-1.4912063,.92343861,1.491206288337708
after,health_fair,.0888086642599278,.093050539,-1.4752821,.95884025,1.475282073020935
after,pv_9,.0128158844765343,.011281588,1.4061714,1.1341937,1.406171441078186
after,pv_2,.038086642599278,.035830326,1.1958734,1.0604441,1.195873379707336
after,pv_15,.0279783393501805,.026173284,1.1120478,1.0669432,1.112047791481018
after,pv_4,.005956678700361,.0052346569,.96784264,1.1370615,.9678426384925842
after,pv_11,.0333935018050542,.031859204,.86355209,1.0464574,.8635520935058594
after,pv_10,.0046931407942238,.0041516246,.81603026,1.1297767,.8160302639007568
after,health_poor,.0467509025270758,.045306858,.68905944,1.0302722,.6890594363212585
after,pv_17,.0386281588447653,.039711192,-.5582149,.97378695,.5582149028778076
after,pv_6,.0025270758122744,.0023465704,.36607119,1.0766869,.3660711944103241
after,pv_5,.0027075812274368,.0028880867,-.34169987,.93763375,.3416998684406281
after,pv_7,.0009025270758123,.00081227435,.30832729,1.1109681,.3083272874355316
after,sportsArea,.3622743682310469,.36101082,.26295021,1.0014772,.262950211763382
