manuscript_name,variable,N,mean,sd,min,max
Previous-week physical exercise participation,exercise,15165,.1880646224859875,.39077666,0,1
Educational attainment,edu,15165,2.11421035278602,1.0637857,1,7
Current household cultivation,plants,15165,.6227497527200792,.48471433,0,1
Historical rice share,rice10,15165,2.353866684161873,2.9198418,.024141999,8.7551727
Historical economic condition,ln_gdp_hist,15165,-1.080904307492672,.40100172,-1.7169704,.55407602
Historical urbanisation,urban2000_10,15165,2.970479393339927,1.0215073,2.3199999,8.8310003
Age,age,15165,45.60909990108803,15.503271,16,95
Sex,gender,15165,.5037256841411144,.50000262,0,1
Marital status,marriage,15165,.8376524892845367,.36878145,0,1
Household income,ln_income,15165,4.928250082626668,4.1232777,0,10.839159
Self-rated health,health3,15165,1.300098911968348,.61788017,1,3
Community sports facility,sportsArea,15165,.3297725024727992,.47014591,0,1
Vocabulary test score,wordtest,15165,14.0503132212331,10.80409,0,34
Mathematics test score,mathtest,15165,8.025783053082757,6.2247376,0,24
