term,estimate,share_raw_gap,bootstrap_se,bootstrap_lower,bootstrap_upper,N,N_south,N_north,reps,successful,model,builtin_se
age,.0008651140454416,-1.583452427126121,.001763119668897,-.0027953212950753,.0039944756,15165,5356,9809,1000,999,F2,.0005904549765945
diff,-.054634672353985,100,.0309928948447248,-.1189292826340731,.0010571829,15165,5356,9809,1000,999,F2,
edu,-.0075249294220686,13.77317571031389,.0052235539007847,-.0186502764614684,.0011110991,15165,5356,9809,1000,999,F2,.0006823439563891
expl,-.0503031269615793,92.07180128336623,.0296888560650168,-.1134269276121555,-.00013672462,15165,5356,9809,1000,999,F2,
gender,.0003930894911751,-.7194872307976575,.0005299827845475,-.0004595133398013,.0016547932,15165,5356,9809,1000,999,F2,.0002165752116501
health,-.0007943776165067,1.453980745706338,.0010403489596913,-.0037605043724336,.00053805765,15165,5356,9809,1000,999,F2,.000607979088219
ln_gdp_hist,.0160229366584318,-29.32741420066948,.0238066927788319,-.023336825505392,.072000243,15165,5356,9809,1000,999,F2,.0030890372600963
ln_income,.0000596410415585,-.1091633554093014,.0004859242975198,-.0009568364154711,.00073544192,15165,5356,9809,1000,999,F2,.0003872101293697
marriage,-.0001725560342139,.3158361289253357,.0010631418803734,-.0018817105794407,.0022426581,15165,5356,9809,1000,999,F2,.0002378059951383
plants,-.0056054854886814,10.25994162161851,.0245951389970327,-.0617788968093527,.03444295,15165,5356,9809,1000,999,F2,.0106892560898743
pr_0,.1527259148618372,,.0165441200769532,.1201633705932932,.18269813,15165,5356,9809,1000,999,F2,
pr_1,.2073605872158222,,.0263542796493607,.1641801401707029,.25443876,15165,5356,9809,1000,999,F2,
rice10,-.0407451491049115,74.57745667608022,.0203448452277547,-.0789684211530763,.0013432164,15165,5356,9809,1000,999,F2,.0112478737801127
sportsArea,.0051691223635352,-9.461248948367114,.0033082453124359,-.0040446698141119,.010313288,15165,5356,9809,1000,999,F2,.0010494171053688
urban2000_10,-.0115111866942689,21.06937993457063,.0184884437879798,-.048669023753644,.032176841,15165,5356,9809,1000,999,F2,.0048545872744638
year14,-.0064476021639351,11.80130105322175,.0056405251533307,-.0205726423715282,.0024373762,15165,5356,9809,1000,999,F2,.0007278075840114
