group,variable,N,mean,sd,min,max
All,exercise,15165,.18806462,.39077666,0,1
All,exercise_freq,15165,.96116054,2.308965,0,50
All,edu,15165,2.1142104,1.0637857,1,7
All,plants,15165,.62274975,.48471433,0,1
All,age,15165,45.6091,15.503271,16,95
All,gender,15165,.50372571,.50000262,0,1
All,marriage,15165,.8376525,.36878145,0,1
All,income_raw,15165,5528.1743,14732.555,0,800000
All,ln_income,15165,4.9282503,4.1232777,0,10.839159
All,health3,15165,1.3000989,.61788017,1,3
All,sportsArea,15165,.3297725,.47014591,0,1
All,rice_hist,15165,.23538667,.29198417,.0024142,.87551725
All,ln_gdp_hist,15165,-1.0809044,.40100172,-1.7169704,.55407602
All,urban2000,15165,.29704794,.10215073,.23199999,.88309997
All,wordtest,15165,14.050313,10.80409,0,34
All,mathtest,15165,8.0257826,6.2247376,0,24
South,exercise,5356,.15272592,.35975668,0,1
South,exercise_freq,5356,.76661688,2.0488102,0,14
South,edu,5356,2.0280061,1.0315109,1,6
South,plants,5356,.05321135,.22447564,0,1
South,age,5356,46.769043,15.27339,16,95
South,gender,5356,.51064229,.49993339,0,1
South,marriage,5356,.84073937,.36595312,0,1
South,income_raw,5356,5665.8799,15491.399,0,800000
South,ln_income,5356,5.2465997,4.0546169,0,10.839159
South,health3,5356,1.3375653,.6371156,1,3
South,sportsArea,5356,.40067214,.49008042,0,1
South,rice_hist,5356,.60433,.16927481,.33400682,.87551725
South,ln_gdp_hist,5356,-.97077388,.48665044,-1.7169704,.55407602
South,urban2000,5356,.3427701,.12658086,.23360001,.88309997
South,wordtest,5356,12.654407,10.474827,0,34
South,mathtest,5356,7.5224047,6.0244803,0,24
North,exercise,9809,.20736058,.40543672,0,1
North,exercise_freq,9809,1.0673871,2.4328766,0,50
North,edu,9809,2.1612804,1.0781482,1,7
North,plants,9809,.9337343,.2487586,0,1
North,age,9809,44.975735,15.591754,16,92
North,gender,9809,.49994904,.50002551,0,1
North,marriage,9809,.83596694,.37032443,0,1
North,income_raw,9809,5452.9834,14301.469,0,800000
North,ln_income,9809,4.7544217,4.1501999,0,10.839159
North,health3,9809,1.2796412,.60617608,1,3
North,sportsArea,9809,.29105923,.45427391,0,1
North,rice_hist,9809,.033932853,.035300411,.0024142,.13824232
North,ln_gdp_hist,9809,-1.1410388,.33025733,-1.4829426,-.38178509
North,urban2000,9809,.2720823,.074966446,.23199999,.5424
North,wordtest,9809,14.812519,10.905067,0,34
North,mathtest,9809,8.300642,6.3147979,0,24
Wave2010,exercise,8452,.12363937,.32918915,0,1
Wave2010,exercise_freq,8452,.60293424,1.8501247,0,20
Wave2010,edu,8452,2.0220065,1.0437086,1,7
Wave2010,plants,8452,.62150973,.48503941,0,1
Wave2010,age,8452,46.12648,15.05208,16,92
Wave2010,gender,8452,.4930194,.49998084,0,1
Wave2010,marriage,8452,.85281593,.3543103,0,1
Wave2010,income_raw,8452,5714.394,15266.776,0,800000
Wave2010,ln_income,8452,6.4159675,3.5253768,0,10.59666
Wave2010,health3,8452,1.1638665,.42992499,1,3
Wave2010,sportsArea,8452,.29827261,.45752686,0,1
Wave2010,rice_hist,8452,.24247527,.29384732,.0024142,.87551725
Wave2010,ln_gdp_hist,8452,-1.1043423,.40509316,-1.7169704,.55407602
Wave2010,urban2000,8452,.29402384,.10036753,.23199999,.88309997
Wave2010,wordtest,8452,13.233317,10.697041,0,34
Wave2010,mathtest,8452,7.4968057,6.1772704,0,24
Wave2014,exercise,6713,.2691792,.44356632,0,1
Wave2014,exercise_freq,6713,1.4121853,2.7147481,0,50
Wave2014,edu,6713,2.2302995,1.0774504,1,6
Wave2014,plants,6713,.62431103,.48433635,0,1
Wave2014,age,6713,44.957695,16.030718,16,95
Wave2014,gender,6713,.51720542,.49974111,0,1
Wave2014,marriage,6713,.81856102,.38541019,0,1
Wave2014,income_raw,6713,5293.7148,14028.662,0,400000
Wave2014,ln_income,6713,3.05514,4.0578074,0,10.839159
Wave2014,health3,6713,1.4716222,.75960714,1,3
Wave2014,sportsArea,6713,.36943245,.48268709,0,1
Wave2014,rice_hist,6713,.22646175,.28939635,.0024142,.87551725
Wave2014,ln_gdp_hist,6713,-1.0513946,.39384139,-1.7169704,.55407602
Wave2014,urban2000,6713,.30085543,.10423534,.23199999,.88309997
Wave2014,wordtest,6713,15.078951,10.851035,0,34
Wave2014,mathtest,6713,8.6917925,6.2207999,0,24
Rice,exercise,5721,.16518091,.37137622,0,1
Rice,exercise_freq,5721,.84111172,2.156328,0,21
Rice,edu,5721,2.0692186,1.0317163,1,6
Rice,plants,5721,0,0,0,0
Rice,age,5721,46.830975,15.159787,16,95
Rice,gender,5721,.50917673,.49995947,0,1
Rice,marriage,5721,.84373361,.36313945,0,1
