term,successful,bootstrap_se,lower,upper
age,999,.001763119668897,-.0027953212950753,.0039944756
diff,999,.0309928948447248,-.1189292826340731,.0010571829
edu,999,.0052235539007847,-.0186502764614684,.0011110991
expl,999,.0296888560650168,-.1134269276121555,-.00013672462
gender,999,.0005299827845475,-.0004595133398013,.0016547932
health,999,.0010403489596913,-.0037605043724336,.00053805765
ln_gdp_hist,999,.0238066927788319,-.023336825505392,.072000243
ln_income,999,.0004859242975198,-.0009568364154711,.00073544192
marriage,999,.0010631418803734,-.0018817105794407,.0022426581
plants,999,.0245951389970327,-.0617788968093527,.03444295
pr_0,999,.0165441200769532,.1201633705932932,.18269813
pr_1,999,.0263542796493607,.1641801401707029,.25443876
rice10,999,.0203448452277547,-.0789684211530763,.0013432164
sportsArea,999,.0033082453124359,-.0040446698141119,.010313288
urban2000_10,999,.0184884437879798,-.048669023753644,.032176841
year14,999,.0056405251533307,-.0205726423715282,.0024373762
