model,statistic,value
sample,education_center,2.11421035278602
sample,rice10_p25,.0267049533381192
sample,rice10_p75,5.098875533152384
sample,income_median_log,6.55250788703459
B0_null,N,15165
B0_null,N_clust,23
B0_null,ll,-6669.036598498518
B0_null,converged,1
B1_baseline,N,15165
B1_baseline,N_clust,23
B1_baseline,ll,-6368.348226984666
B1_baseline,converged,1
B2_logit_FE,N,15165
B2_logit_FE,N_clust,23
B2_logit_FE,ll,-6649.005696022292
B2_logit_FE,converged,1
H0_context,N,15165
H0_context,N_clust,23
H0_context,ll,-6723.08680941354
H0_context,converged,1
H1_context,N,15165
H1_context,N_clust,23
H1_context,ll,-6701.111141760914
H1_context,converged,1
H2_context,N,15165
H2_context,N_clust,23
H2_context,ll,-6698.233991425475
H2_context,converged,1
G1_region,N,15165
G1_region,N_clust,23
G1_region,ll,-6366.231391094081
G1_region,converged,1
G1_region,interaction_wald_p,.3274039715848519
G1_split0,N,5356
G1_split0,N_clust,14
G1_split0,ll,-1827.739593536377
G1_split0,converged,1
G1_split1,N,9809
G1_split1,N_clust,9
G1_split1,ll,-4499.957533504009
G1_split1,converged,1
G2_income,N,15165
G2_income,N_clust,23
G2_income,ll,-6365.34971918257
G2_income,converged,1
G2_income,interaction_wald_p,.1060126877120746
G2_split0,N,7571
G2_split0,N_clust,22
G2_split0,ll,-3424.0948250739
G2_split0,converged,1
G2_split1,N,7592
G2_split1,N_clust,23
G2_split1,ll,-2962.673548840276
G2_split1,converged,1
H3_interaction,N,15165
H3_interaction,N_clust,23
H3_interaction,ll,-6697.451096322253
H3_interaction,converged,1
H3_interaction,interaction_wald_p,.5802174153571014
