model,scale,term,estimate,se,p,lower,upper,N,clusters
B0_null,coefficient,exercise:13b.provcd,0,0,,0,0,15165,23
B0_null,coefficient,exercise:14.provcd,.2451766207193165,.011070333,0,.22347917,.26687407,15165,23
B0_null,coefficient,exercise:21.provcd,-.0232083895083296,.016864525,.16877018,-.056262251,.0098454719,15165,23
B0_null,coefficient,exercise:22.provcd,-.1439090104668636,.029469343,1.0430041e-06,-.20166786,-.086150162,15165,23
B0_null,coefficient,exercise:23.provcd,.2068082572874006,.034693092,2.5057807e-09,.13881105,.27480546,15165,23
B0_null,coefficient,exercise:31.provcd,.7601903124683747,.086375669,1.3563005e-18,.59089708,.92948353,15165,23
B0_null,coefficient,exercise:32.provcd,.3697794307496426,.096828632,.00013404488,.1799988,.55956006,15165,23
B0_null,coefficient,exercise:33.provcd,-.0948662910337758,.051877152,.067448772,-.19654363,.0068110572,15165,23
B0_null,coefficient,exercise:34.provcd,-.5852102475742229,.018977961,0,-.62240636,-.5480141,15165,23
B0_null,coefficient,exercise:35.provcd,-.7271838198168948,.01843648,0,-.76331866,-.69104898,15165,23
B0_null,coefficient,exercise:36.provcd,-.954747575793843,.0082686469,0,-.97095382,-.93854135,15165,23
B0_null,coefficient,exercise:37.provcd,-.5323390094259074,.003682049,0,-.53955567,-.52512234,15165,23
B0_null,coefficient,exercise:41.provcd,.2122799287051995,.012934431,0,.18692891,.23763095,15165,23
B0_null,coefficient,exercise:42.provcd,-.4634313860852927,.012658187,0,-.48824099,-.43862179,15165,23
B0_null,coefficient,exercise:43.provcd,-.8229587358835732,.022120059,0,-.86631328,-.7796042,15165,23
B0_null,coefficient,exercise:44.provcd,-.2318148044683424,.0022782399,0,-.23628007,-.22734953,15165,23
B0_null,coefficient,exercise:45.provcd,-.7685980545649955,.011065024,0,-.79028511,-.74691099,15165,23
B0_null,coefficient,exercise:50.provcd,-.3398620016722982,.0067600748,0,-.35311151,-.3266125,15165,23
B0_null,coefficient,exercise:51.provcd,-.2940123778715711,.013877071,0,-.32121095,-.26681381,15165,23
B0_null,coefficient,exercise:52.provcd,-.8270948864775538,.0025866495,0,-.83216465,-.82202512,15165,23
B0_null,coefficient,exercise:53.provcd,-1.10167326189675,.0096618468,0,-1.1206101,-1.0827364,15165,23
B0_null,coefficient,exercise:61.provcd,-.2486393046695811,.018589951,0,-.28507495,-.21220367,15165,23
B0_null,coefficient,exercise:62.provcd,-.4493468576625482,.012304748,0,-.47346371,-.42523,15165,23
B0_null,coefficient,exercise:2010b.year,0,0,,0,0,15165,23
B0_null,coefficient,exercise:2014.year,1.149460874950841,.19148755,1.9394732e-09,.77415216,1.5247695,15165,23
B0_null,coefficient,exercise:_cons,-1.941607023405515,.10879485,0,-2.1548409,-1.7283731,15165,23
B0_null,coefficient,/var(_cons[cid_wave]),.6279803677767646,.053191852,3.6365796e-32,.52372622,.73223448,15165,23
B1_baseline,coefficient,exercise:edu,.3580947613716839,.041540392,6.6721042e-18,.2766771,.43951243,15165,23
B1_baseline,coefficient,exercise:0b.plants,0,0,,0,0,15165,23
B1_baseline,coefficient,exercise:1.plants,-.1194021584808014,.23187296,.60659045,-.57386482,.33506051,15165,23
B1_baseline,coefficient,exercise:age_c,.0045732233056055,.0056856251,.42119581,-.0065703969,.015716843,15165,23
B1_baseline,coefficient,exercise:age_c2,.0008507998077948,.00012917364,4.5037207e-11,.00059762411,.0011039755,15165,23
B1_baseline,coefficient,exercise:0b.gender,0,0,,0,0,15165,23
B1_baseline,coefficient,exercise:1.gender,.2975535280700692,.083153948,.00034577676,.13457479,.46053228,15165,23
B1_baseline,coefficient,exercise:0b.marriage,0,0,,0,0,15165,23
B1_baseline,coefficient,exercise:1.marriage,-.3938476981994702,.03924419,1.0607275e-23,-.47076491,-.3169305,15165,23
B1_baseline,coefficient,exercise:ln_income,.0004972812938142,.0056086699,.92934978,-.010495509,.011490072,15165,23
B1_baseline,coefficient,exercise:1b.health3,0,0,,0,0,15165,23
B1_baseline,coefficient,exercise:2.health3,-.0867838042823535,.095860131,.36529747,-.27466622,.1010986,15165,23
B1_baseline,coefficient,exercise:3.health3,.0040127230533787,.063598029,.94969076,-.12063713,.12866257,15165,23
B1_baseline,coefficient,exercise:0b.sportsArea,0,0,,0,0,15165,23
B1_baseline,coefficient,exercise:1.sportsArea,.4032885197472569,.090611108,8.5565980e-06,.225694,.58088303,15165,23
B1_baseline,coefficient,exercise:13b.provcd,0,0,,0,0,15165,23
