stage,variable,treated_mean,control_mean,smd,variance_ratio
before,plants,.6499458679177192,.60708719,8.8778448,.95389014
after,plants,.6498194945848376,.65947652,-2.0308983,1.0132618
before,age_c,-5.842656080837243,4.3247428,-69.533432,.91419512
after,age_c,-5.835559566787004,-5.4054151,-3.1043694,1.1353632
before,age_c2,238.3276795380729,242.07658,-1.3728451,.63236624
after,age_c2,238.178880866426,209,12.155627,1.0039661
before,gender,.61060988812703,.44216982,34.223011,.96403074
after,gender,.6104693140794224,.65009028,-8.2138014,1.0453439
before,marriage,.7946589678816312,.86241299,-18.047701,1.3752986
after,marriage,.7949458483754512,.83023465,-9.0512056,1.1564838
before,ln_income,5.489319681406048,4.6051235,21.296932,1.1969231
after,ln_income,5.487566955356242,5.2401266,5.7237673,1.0098624
before,health_fair,.0887766149404547,.15120025,-19.298292,.63037491
after,health_fair,.0888086642599278,.093050539,-1.4752821,.95884025
before,health_poor,.0467340310357272,.10838616,-23.202538,.46103081
after,health_poor,.0467509025270758,.045306858,.68905944,1.0302722
before,sportsArea,.3625045110068567,.31092176,10.93051,1.0787085
after,sportsArea,.3622743682310469,.36101082,.26295021,1.0014772
before,year14,.4898953446409239,.41546294,14.994502,1.0290856
after,year14,.4897111913357401,.50496387,-3.0506351,.99963671
before,pv_2,.0384337784193432,.018913021,11.716147,1.9918522
after,pv_2,.038086642599278,.035830326,1.1958734,1.0604441
before,pv_3,.0259833994947672,.024004988,1.2672753,1.0803052
after,pv_3,.0259927797833935,.029693142,-2.2490649,.87868458
before,pv_4,.0059545290508842,.0040527903,2.695276,1.4665487
after,pv_4,.005956678700361,.0052346569,.96784264,1.1370615
before,pv_5,.0027066041140383,.0031175308,-.76255274,.86861271
after,pv_5,.0027075812274368,.0028880867,-.34169987,.93763375
before,pv_6,.002526163839769,.0010391769,3.5252683,2.4274948
after,pv_6,.0025270758122744,.0023465704,.36607119,1.0766869
before,pv_7,.0009022013713461,.0012470124,-1.0523646,.72379547
after,pv_7,.0009025270758123,.00081227435,.30832729,1.1109681
before,pv_8,.0032479249368459,.0016626832,3.2033091,1.9504713
after,pv_8,.0032490974729242,.0013537906,3.9556963,2.3953531
before,pv_9,.0128112594731144,.016003326,-2.6788039,.80319571
after,pv_9,.0128158844765343,.011281588,1.4061714,1.1341937
before,pv_10,.0046914471309996,.0085212514,-4.72855,.55272746
after,pv_10,.0046931407942238,.0041516246,.81603026,1.1297767
before,pv_11,.0333814507398051,.038657382,-2.8314571,.86832625
after,pv_11,.0333935018050542,.031859204,.86355209,1.0464574
before,pv_12,.0651389390111873,.047594305,7.6122661,1.3435196
after,pv_12,.0651624548736462,.058212996,2.888551,1.1110773
before,pv_13,.2439552508119812,.19006547,13.100455,1.1982234
after,pv_13,.244043321299639,.25279784,-2.0259542,.97664267
before,pv_14,.0115481775532299,.0078977449,3.7205696,1.4569433
after,pv_14,.0115523465703971,.0091155237,2.4095473,1.2641616
before,pv_15,.0279682425117286,.03024005,-1.3514099,.9271118
after,pv_15,.0279783393501805,.026173284,1.1120478,1.0669432
before,pv_16,.0848069289065319,.078561775,2.2802081,1.0722592
after,pv_16,.0848375451263538,.089350179,-1.6002722,.95416349
before,pv_17,.0386142186936124,.032630157,3.2287707,1.1761602
after,pv_17,.0386281588447653,.039711192,-.5582149,.97378695
before,pv_18,.0037892457596536,.011015275,-8.4370422,.34653911
after,pv_18,.0037906137184116,.0024368232,2.4298453,1.5533849
before,pv_19,.0310357271743053,.051958848,-10.504839,.61054295
after,pv_19,.0310469314079422,.027797833,1.9225852,1.1131078
before,pv_20,.0276073619631902,.059856594,-15.818173,.47708273
after,pv_20,.0276173285198556,.024819495,1.7509005,1.1094922
before,pv_21,.0304944063514977,.036786865,-3.4902372,.83442742
after,pv_21,.0305054151624549,.033122744,-1.4912063,.92343861
before,pv_22,.017502706604114,.010703523,5.7680793,1.6241144
after,pv_22,.0175090252707581,.013176896,3.524756,1.3228831
before,pv_23,.1981234211476001,.27060169,-17.171856,.80497307
after,pv_23,.1981949458483755,.21055956,-3.0663273,.9559834
