edu_high,score_bin,N,mean_pscore,on_support
Untreated,1,242,.0372664166008943,242
Untreated,2,872,.0763679084121337,872
Untreated,3,1101,.1258814633147243,1101
Untreated,4,1200,.1754098458731431,1200
Untreated,5,1098,.2248347632720477,1098
Untreated,6,938,.2741434874912238,938
Untreated,7,849,.3250326467112135,849
Untreated,8,739,.3728999022856028,739
Untreated,9,592,.4253608320436855,592
Untreated,10,469,.475101228321314,469
Untreated,11,417,.5238750118655499,417
Untreated,12,353,.574348414818366,353
Untreated,13,265,.623133713987129,265
Untreated,14,177,.6728670644277166,177
Untreated,15,114,.7247270831726123,114
Untreated,16,100,.7758641180740641,100
Untreated,17,74,.8211614409989775,74
Untreated,18,23,.8663729924182416,23
Treated,1,1,.0489332690052197,1
Treated,2,31,.084287295720882,31
Treated,3,132,.1276982543522686,132
Treated,4,251,.1770378770207585,251
Treated,5,297,.2255414618219123,297
Treated,6,419,.2760551496048291,419
Treated,7,470,.3256539055000986,470
Treated,8,476,.3748539292352558,476
Treated,9,484,.4246890972068976,484
Treated,10,460,.4745929287004808,460
Treated,11,481,.5249334280975427,481
Treated,12,448,.5736664593436267,448
Treated,13,424,.6246777515337761,424
Treated,14,395,.674545280727178,395
Treated,15,306,.7257250956519986,306
Treated,16,229,.7753452619871923,229
Treated,17,179,.8228435660262055,179
Treated,18,59,.8664584460272532,57
