model,scale,term,estimate,se,p,lower,upper,N,clusters,status,note
S1_PSM,ATET,edu_high,.0851985559566787,.0091999872,2.0304727e-20,.06716691,.1032302,5540,,ok,1:2 nearest-neighbor matching with replacement and common support; psmatch2 approximate SE
S2_IV_firststage,coefficient,loo_edu,.6274509306095027,.037183773,4.4946994e-14,.55033648,.70456535,15159,23,ok,community-wave leave-one-out mean from pre-complete-case eligible rural sample
S2_IV_probit,coefficient,exercise:edu,.3174864553148056,.085809574,.00021568837,.14930278,.48567015,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:0b.plants,0,0,,0,0,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:1.plants,-.037118550791164,.12350342,.76376015,-.27918082,.20494372,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:age_c,.006052867135367,.0048060543,.20787671,-.0033668266,.015472561,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:age_c2,.0004237643837827,.000061182123,4.3205860e-12,.00030384961,.00054367917,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:0b.gender,0,0,,0,0,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:1.gender,.0920214402076038,.054304436,.090161324,-.0144133,.19845618,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:0b.marriage,0,0,,0,0,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:1.marriage,-.2014721278892311,.020254914,2.6035026e-23,-.24117103,-.16177323,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:ln_income,-.0013091889357134,.0044125686,.76669908,-.0099576646,.0073392866,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:1b.health3,0,0,,0,0,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:2.health3,-.023669463817422,.061175335,.69882143,-.14357091,.09623199,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:3.health3,.0282128315702596,.033482376,.39944249,-.037411422,.093837082,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:0b.sportsArea,0,0,,0,0,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:1.sportsArea,.1597486468770462,.038490415,.000033196913,.084308818,.23518847,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:13b.provcd,0,0,,0,0,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:14.provcd,-.008491453439728,.021692056,.69546133,-.051007103,.034024198,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:21.provcd,-.0075563454149875,.11156143,.94599849,-.22621273,.21110003,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:22.provcd,-.1533735627743418,.11463363,.18091419,-.37805137,.071304239,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:23.provcd,.1731907148902586,.079273783,.028909657,.017816963,.32856447,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:31.provcd,.1168394371967306,.14597592,.42347786,-.1692681,.40294698,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:32.provcd,.3002105942477731,.1037515,.003809084,.096861392,.50355977,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:33.provcd,-.2624718625075138,.1200645,.028808981,-.49779394,-.027149772,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:34.provcd,-.4018184162887048,.11814182,.00067102193,-.63337213,-.17026472,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:35.provcd,-.2472697107176934,.12275096,.0439674,-.48785716,-.0066822553,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:36.provcd,-.5290234374938423,.12066288,.000011635419,-.76551837,-.29252854,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
S2_IV_probit,coefficient,exercise:37.provcd,-.2352204132088659,.013507909,0,-.26169541,-.20874541,15159,23,ok,maximum-likelihood IV-probit; latent-index coefficients; province-clustered VCE
